B752   (Boeing 757-200) with 1RR012 engines,1RR012,RB211-535C,2,B752-C,
B752   (Boeing 757-200) with 4PW072 engines,4PW072,PW2037,2,B752-A,
B752   (Boeing 757-200) with 4PW073 engines,4PW073,PW2040,2,B752-B,
B752   (Boeing 757-200) with 5RR038 engines **,5RR038,RB211-535E4,2,B752-D,
B752   (Boeing 757-200) with 5RR039 engines,5RR039,RB211-535E4B,2,B752-E,
B753   (Boeing 757-300) with 4PW073 engines,4PW073,PW2040,2,B753-A,
B753   (Boeing 757-300) with 5RR038 engines,5RR038,RB211-535E4,2,B753-B,
B753   (Boeing 757-300) with 5RR039 engines **,5RR039,RB211-535E4B,2,B753-C,
B762   (Boeing 767-200) with 1GE010 engines,1GE010,CF6-80A,2,B762-A,
B762   (Boeing 767-200) with 1GE012 engines **,1GE012,CF6-80A2,2,B762-B,
B762   (Boeing 767-200) with 1PW026 engines,1PW026,JT9D-7R4D -7R4D1,2,B762-I,
B762   (Boeing 767-200) with 1PW027 engines,1PW027,JT9D-7R4E -7R4E1,2,B762-J,
B762   (Boeing 767-200) with 1PW028 engines,1PW028,JT9D-7R4E4 -E1(H),2,B762-K,
B762   (Boeing 767-200) with 1PW042 engines,1PW042,PW4056,2,B762-L,
B762   (Boeing 767-200) with 1PW054 engines,1PW054,PW4x52,2,B762-N,
B762   (Boeing 767-200) with 2GE042 engines,2GE042,CF6-80C2B2,2,B762-C,
B762   (Boeing 767-200) with 2GE043 engines,2GE043,CF6-80C2B4,2,B762-E,
B762   (Boeing 767-200) with 2GE046 engines,2GE046,CF6-80C2B2F,2,B762-D,
B762   (Boeing 767-200) with 2GE047 engines,2GE047,CF6-80C2B4F,2,B762-F,
B762   (Boeing 767-200) with 2GE048 engines,2GE048,CF6-80C2B6F,2,B762-G,
B762   (Boeing 767-200) with 2GE055 engines,2GE055,CF6-80C2B7F,2,B762-H,
B762   (Boeing 767-200) with 12PW101 engines,12PW101,PW4060,2,B762-M,
B763   (Boeing 767-300) with 1GE012 engines,1GE012,CF6-80A2,2,B763-A,
B763   (Boeing 767-300) with 1PW042 engines,1PW042,PW4056,2,B763-H,
B763   (Boeing 767-300) with 1PW054 engines,1PW054,PW4x52,2,B763-K,
B763   (Boeing 767-300) with 1RR011 engines,1RR011,RB211-524H,2,B763-L,
B763   (Boeing 767-300) with 2GE043 engines,2GE043,CF6-80C2B4,2,B763-C,
B763   (Boeing 767-300) with 2GE044 engines,2GE044,CF6-80C2B6,2,B763-E,
B763   (Boeing 767-300) with 2GE046 engines,2GE046,CF6-80C2B2F,2,B763-B,
B763   (Boeing 767-300) with 2GE047 engines,2GE047,CF6-80C2B4F,2,B763-D,
B763   (Boeing 767-300) with 2GE048 engines,2GE048,CF6-80C2B6F,2,B763-F,
B763   (Boeing 767-300) with 2GE055 engines,2GE055,CF6-80C2B7F,2,B763-G,
B763   (Boeing 767-300) with 12PW101 engines **,12PW101,PW4060,2,B763-I,
B763   (Boeing 767-300) with 12PW102 engines,12PW102,PW4062,2,B763-J,
B764   (Boeing 767-400),2GE055,CF6-80C2B7F,2,B764-A,
B772   (Boeing 777-200) with 2PW061 engines,2PW061,PW4077,2,B772-G,
B772   (Boeing 777-200) with 2RR025 engines,2RR025,Trent 877,2,B772-K,
B772   (Boeing 777-200) with 3GE066 engines,3GE066,GE90-92B,2,B772-E,
B772   (Boeing 777-200) with 5RR040 engines,5RR040,Trent 895,2,B772-L,
B772   (Boeing 777-200) with 6GE087 engines,6GE087,GE90-76B,2,B772-B,
B772   (Boeing 777-200) with 6GE089 engines,6GE089,GE90-85B,2,B772-C,
B772   (Boeing 777-200) with 6GE090 engines,6GE090,GE90-90B,2,B772-D,
B772   (Boeing 777-200) with 7GE099 engines,7GE099,GE90-115B,2,B772-A,
B772   (Boeing 777-200) with 8GE100 engines **,8GE100,GE90-94B,2,B772-F,
