MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0010,A09_6088590,0,0,0,0,0,0,0,0,9365,265,0,517139.8,184.7312498,24180,1,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0016,B_02,0,0,0,0,0,0,44,0,14973,6894,0,20510320.85,562.8356268,17580,115,28,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0017,B_07,0,0,0,0,0,0,44,0,13696,6587,0,24747482.9,629.6360323,17580,115,28,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0019,B_01,0,0,0,0,0,0,0,0,14133,5645,0,17003379.9,697.8865683,15780,99,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0015,X02_DATA,0,0,0,0,0,0,0,0,1102,1190,0,1961194.5,461.6156654,0,9,8,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0014,X04_DATA,0,0,0,0,0,0,0,0,513,901,0,2168904.95,422.3752301,240,6,2,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0016,X01_DATA,0,0,0,0,0,0,0,0,15967,1190,0,2554408.5,529.3568938,42240,9,8,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0021,B_06,0,0,0,0,0,0,0,0,13618,5474,0,20592662.65,837.3307793,15780,99,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0017,X03_DATA,0,0,0,0,0,0,0,0,20305,776,0,2696107.9,585.3587234,56580,4,4,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0023,XB03_DATA,0,0,0,0,0,0,0,0,15488,7138,0,24541802.45,933.6512148,19200,108,3,-1
